Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-24 00:00:00-05:00,73.31924382657061,74.12680988256889,73.1298117466729,73.78783416748047,22103800,0.0,0.0
2014-11-25 00:00:00-05:00,73.987226288944,75.51263212780933,73.90746461732566,75.40296173095703,32250200,0.0,0.0
2014-11-26 00:00:00-05:00,75.3032708976628,77.54651679013041,75.28333428103086,77.38700103759766,32695300,0.0,0.0
2014-11-28 00:00:00-05:00,77.43684999843661,78.03504740972974,76.99817595361779,77.46675872802734,15992000,0.0,0.0
2014-12-01 00:00:00-05:00,77.0280770913127,77.07792243355357,74.57546262219583,74.87455749511719,31789900,0.0,0.0
2014-12-02 00:00:00-05:00,75.10386771847372,75.68212843448562,74.81473736046776,75.23347473144531,16773900,0.0,0.0
2014-12-03 00:00:00-05:00,75.15371911540599,75.50267455916727,74.17666517105302,74.65522003173828,16689900,0.0,0.0
2014-12-04 00:00:00-05:00,74.60537198961543,75.32321186117937,74.43588413285508,75.0141372680664,14362800,0.0,0.0
2014-12-05 00:00:00-05:00,75.5724665237151,76.52958388193694,75.13378488209536,76.13078308105469,24306400,0.0,0.0
2014-12-08 00:00:00-05:00,75.95132272705321,77.01811049042792,75.17366535273236,76.29029846191406,25733900,0.0,0.0
2014-12-09 00:00:00-05:00,74.97425297225381,76.69906300668586,74.55551560198421,76.60932922363281,25358600,0.0,0.0
2014-12-10 00:00:00-05:00,76.41990716537784,77.31720699169477,75.84164643214113,75.9513168334961,32210500,0.0,0.0
2014-12-11 00:00:00-05:00,76.2902990659183,78.28429546980684,76.25042583155404,77.49667358398438,33462100,0.0,0.0
2014-12-12 00:00:00-05:00,76.928379955627,78.6432103630082,76.78879321837698,77.59636688232422,28091600,0.0,0.0
2014-12-15 00:00:00-05:00,78.22447679574275,78.34411931645352,76.3301787201976,76.7588882446289,29396500,0.0,0.0
2014-12-16 00:00:00-05:00,75.96129471291405,77.15768950119515,74.36609151988252,74.4657974243164,31554600,0.0,0.0
2014-12-17 00:00:00-05:00,74.78483430419027,76.18063325308667,74.67516389778818,75.88153076171875,29203900,0.0,0.0
2014-12-18 00:00:00-05:00,76.65918823504835,78.16465759277344,76.28033167099834,78.16465759277344,34222100,0.0,0.0
2014-12-19 00:00:00-05:00,78.51360027014246,79.75984789347807,78.09486289425975,79.64020538330078,43335000,0.0,0.0
2014-12-22 00:00:00-05:00,79.83961511968262,81.64417936970054,79.75985344068377,81.20549774169922,31395800,0.0,0.0
2014-12-23 00:00:00-05:00,81.77378249856768,81.92333373794477,80.15865041147279,80.3680191040039,19865800,0.0,0.0
